Title ID	Region	Name	PKG direct link	zRIF	Content ID	Last Modification Date	File Size	SHA256
PCSA00001	US	ModNation Racers: Road Trip - Unlock All Code	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00001_00/UvjbWqqQYGDdjByLvRTrETpKzwayuokKvzZchmnPDXCWsJDPaAvPlraCmswvzgpMUYIZyLTObMqxwObVIkdJKMaDbsLXoaXSCitkB.pkg	KO5ifR1dQ+eHBlgi6TIwBNnv6xcUZgB1BMgyfP6zCui2Ouk1a7o3Y9mXb0WhO0djfHADABXtFIwA	UP9000-PCSA00001_00-MNRV0ADDCONTSE00	2019-03-04 11:49:55	102400	c5073f2c234c6b7f6a67ed70232d3083937db7b0895e26989495b420d40d3026
PCSA00004	US	Escape Plan Asylum	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00004_00/exSjeWJykDlayCAwaRFFtZaTdKxhbGyyHCQRZRttQLITyyGtoJpfMmtXWkgzoshTUFqmfFuRQyMYzJQoDNkTqcacYaJRImHYtZSWM.pkg	KO5ifR1dQ+eHBlgi6TIwAdnvGuzsGOAa4OPo5+IDNNsIn//MCwt2ZMm2/ebvvsVT8FHn8GiMD24AALFAFFEA	UP9000-PCSA00004_00-ESCAPEPLANDLC002	2018-07-16 08:33:54	102400	4d5b27a73886ad127df5a945d5d04b39e6b265643ad036f693e9ef15d7384277
PCSA00004	US	Escape Plan Underground Pack	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00004_00/ItRJrPNXFzdNtDlKITKMWvdmeHhjoXToDDbXgfiCdafIcMucUqjgaSrxkayTztxuLDYfmXXRGXXKmOLUWznkITSpbbeeaZRDmqnOT.pkg	KO5ifR1dQ+eHBlgi6TIwAdnvGuzsGOAa4OPo5+IDNNsYn/9W7HnzhJfZ5WX0up3xmlv9dozG+OAGABBLFSAA	UP9000-PCSA00004_00-ESCAPEPLANDLC003	2019-04-01 19:02:16	102400	8d1db2d40c7725b815b17dc71c11756562478979d56925438cc5a8ea7173e481
PCSA00004	US	Escape Plan Director's Cut	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00004_00/HstxpCnAionSUGjwHUddsbkKnYDbwwAAqVcHWNoOWsPpTNBUmpBsMqzDAzHoTNzWazfSNhKyKfcqiCrmiJKJDAuYzHwyRASsBXVgq.pkg	KO5ifR1dQ+eHBlgi6TIwAdnvGuzsGOAa4OPo5+IDNNsEn/9m3GM5+0vnZcz9vybXlopkPB+N8cENAP3UFksA	UP9000-PCSA00004_00-ESCAPEPLANDLC004	2018-06-16 14:01:58	102400	58d314e2f84b10e445e6bbc130c5298dd924d4078070e2cc6b25c6892e7d1861
PCSA00007	US	PS Vita Hustle Kings Snooker Pack	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00007_00/OKMzPXhTXpqIPOPNXjwPOgeREzrfLpRKvmdFlxHNWcTIeEtJgyVltqUepTJmcqLrPyylDgRzfMgIvUnjvhHymYpqegSCzBrukDpAC.pkg	KO5ifR1dQ+eHBlgi6TIwB9kf6hEaHOLj6u3p5+IDNNsYn/9SUtwKPj9fYz2n70ZxyJLC2NEYH9wAAHIFFVcA	UP9000-PCSA00007_00-UHUSTLEKINDLC003	2018-11-02 07:49:45	43514544	4df7b6dfc65f7c63b4a0b84f257cb59c5e91f7fd1bd47324975448642c784b7d
PCSA00009	US	Hot Shots Golf: World Invitational PS Vita Kat Costume	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00009_00/aeGWKSMHesKlUfsGQgUgFMeexooZkppgKJJXRjfXvbeGtFzKJGFNwjaQGNKSaDpfoqMRpvsYBTEChtrwLsWrYDQyVSuluXLJJtkIJ.pkg	KO5ifR1dQ+eHBlgi6TKwBNlvCgQw+wxNDQzx+Y9P4S1nzIXqSdWr+e00P05XHI3xwQ0A7/MSKwAA	UP9000-PCSA00009_00-5555000000011501	2021-04-20 18:06:42	102400	515a58126caeed0f469895dac2d18949680be65056a01b0db381f333869e5a81
PCSA00009	US	Hot Shots Golf: World Invitational - Toro Playable Character	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00009_00/ExRTnrwosmOVTHfRoHuikoMKHPUBeufmIjeqvvhKtdjBlMFdXuelSLfEXoYDmTwn.pkg	KO5ifR1dQ+eHBlgi6TKwBNlvCgQw+wwtgGbgARzTXz0MfR8QUWP7XeEL89OM0Rgf3AAA6pUT9QAA	UP9000-PCSA00009_00-5555000000011800	2022-03-02 20:08:08	102400	f62b4efb46c86e558b75b2e616b057f8ca0158ecee9eb8c0a101cbf21ef9a422
PCSA00009	US	Hot Shots Golf: World Invitational - Toro Costume	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00009_00/VjMaCyBPEpPqmaakvCNadqELNcjSjeddEYIaKFZgfFkkktnaGOdPhcQoYatVgfpv.pkg	KO5ifR1dQ+eHBlgi6TKwBNlvCgQw+wwtDAzx+e+ClIVvB0/pOlbVQvOuxbv+jsb44AYAT/ISaAAA	UP9000-PCSA00009_00-5555000000011801	2022-03-02 20:08:08	102400	0425b30c07203947a9b0f63406bbd6b8ecf996d23514de02619c3fb1160dd316
PCSA00009	US	Hot Shots Golf: World Invitational - Kuro Playable Character	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00009_00/HeomavnBueNrKMBRQzFstKXHNkpiEzjIcMHzHywkGkVllDRthphQTxwrAMUbEAQG.pkg	KO5ifR1dQ+eHBlgi6TKwBNlvCgQw+wyB0vj8V3wgY889hcdeQs6KbAsuRUqMxvjgBgBnkBJt	UP9000-PCSA00009_00-5555000000011900	2022-03-02 20:08:08	102400	b950f77c73dfe92bd105a026ee600b1f2eb0d76183abb99b265019ff9a77891d
PCSA00009	US	Hot Shots Golf: World Invitational - Kuro Costume	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00009_00/eblTTiKtfBXRuGyDoxwsnWLxbIqYeBnbzbvnlTPIYgNVQOyGnBQofWPttOfXGJYx.pkg	KO5ifR1dQ+eHBlgi6TKwBNlvCgQw+wwtDQzx+a+iUfuW5ayTRW1N9zf93ds8ZTTGBzcAAKOcFQMA	UP9000-PCSA00009_00-5555000000011901	2022-03-02 20:08:08	102400	7f4fa1f6b591c01dcdd33ba1eb04b444d2dca132b89a4824ca7cd647c10b8735
PCSA00009	US	Hot Shots Golf: World Invitational - Club Beginner's Level 4	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00009_00/roYiZvTBJjWytInnNcVhEBfytDrpRapKPWNnSeXmxSdpJBcYJQudhtgSxaUiQulDrOIxqoEXzvQfZKGmfSRksNiUHsvGtefqFOfXu.pkg	KO5ifR1dQ+eHBlgi6TKwBNlvCgRQ+4yAVhrj81+QUGLPuzeT10y48ONIlVHUhNEYH9wAAAfqFKMA	UP9000-PCSA00009_00-5555000000020013	2022-05-04 03:24:46	102400	8ce0e6713a9090d7ec2084254c83f442b57ec1e16e2ce2c3c4e64da44eaf3c4d
